HGNC_symbol	gene_name	mito_process	gene_function	chr	obsolete_HGNC_symbol	HGNC_ID	HGNC_name	ENSG_ID	ENSG_name	NCBI_GeneID	NCBI_name
NIT1	nitrilase 1	Amino Acid Metabolism	This gene encodes a member of the nitrilase protein family with homology to bacterial and plant nitrilases, enzymes that cleave nitriles and organic amides to the corresponding carboxylic acids plus ammonia. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2010],	1		HGNC:7828	NIT1	ENSG00000158793	NIT1	4817	NIT1
NIT2	nitrilase family member 2	Amino Acid Metabolism	Overexpression decreases the colony-forming capacity of cultured cells by arresting cells in the G2 phase of the cell cycle	3	HEL-S-8a	HGNC:29878	NIT2	ENSG00000114021	NIT2	56954	NIT2
OAT	ornithine aminotransferase	Amino Acid Metabolism	Description: catalyzes the reversible transamination of L-ornithine and 2-oxoglutarate to form L-glutamate 5-semialdehyde and L-glutamate Pathway: arginine catabolism,	10	GACR, HOGAASE, OKT, OAT	HGNC:8091	OAT	ENSG00000065154	OAT	4942	OAT
OXCT1	3-oxoacid CoA-transferase 1	Amino Acid Metabolism	Key enzyme for ketone body catabolism. Transfers the CoA moiety from succinate to acetoacetate. Formation of the enzyme-CoA intermediate proceeds via an unstable anhydride species formed between the carboxylate groups of the enzyme and substrate	5	OXCT, SCOT	HGNC:8527	OXCT1	ENSG00000083720	OXCT1	5019	OXCT1
OXCT2	3-oxoacid CoA-transferase 2	Amino Acid Metabolism	Key enzyme for ketone body catabolism. Transfers the CoA moiety from succinate to acetoacetate. Formation of the enzyme-CoA intermediate proceeds via an unstable anhydride species formed between the carboxylate groups of the enzyme and substrate (By similarity)	1	FKSG25, SCOTT	HGNC:18606	OXCT2	ENSG00000198754	OXCT2	64064	OXCT2
PCCA	propionyl-CoA carboxylase subunit alpha	Amino Acid Metabolism	The protein encoded by this gene is the alpha subunit of the heterodimeric mitochondrial enzyme Propionyl-CoA carboxylase. PCCA encodes the biotin-binding region of this enzyme. Mutations in either PCCA or PCCB (encoding the beta subunit) lead to an enzyme deficiency resulting in propionic acidemia. Multiple transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, May 2010],	13		HGNC:8653	PCCA	ENSG00000175198	PCCA	5095	PCCA
PDF	peptide deformylase, mitochondrial	Amino Acid Metabolism	Removes the formyl group from the N-terminal Met of newly synthesized proteins (By similarity)Required for normal Golgi function (By similarity)	16		HGNC:30012	PDF	ENSG00000258429	PDF	64146	PDF
PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase	Amino Acid Metabolism	This is a nuclear gene encoding a mitochondrial enzyme that catalyzes the conversion of 5-phosphonooxy-L-lysine to ammonia, inorganic phosphate, and 2-aminoadipate semialdehyde. Mutations in this gene may cause phosphohydroxylysinuria. Alternative splicing results in multiple transcript variants. [provided by RefSeq, May 2013],	5	AGXT2L2, PHLU	HGNC:28249	PHYKPL	ENSG00000175309	PHYKPL	85007	PHYKPL
PPM1K	protein phosphatase, Mg2+/Mn2+ dependent 1K	Amino Acid Metabolism	This gene encodes a member of the PPM family of Mn2+/Mg2+-dependent protein phosphatases. The encoded protein, essential for cell survival and development, is targeted to the mitochondria where it plays a key role in regulation of the mitochondrial permeability transition pore. [provided by RefSeq, Sep 2012],	4	BDP, MSUDMV, PP2Ckappa, PP2Cm, PTMP, UG0882E07	HGNC:25415	PPM1K	ENSG00000163644	PPM1K	152926	PPM1K
PRODH	proline dehydrogenase 1	Amino Acid Metabolism	This gene encodes a mitochondrial protein that catalyzes the first step in proline degradation. Mutations in this gene are associated with hyperprolinemia type 1 and susceptibility to schizophrenia 4 (SCZD4). This gene is located on chromosome 22q11.21, a region which has also been associated with the contiguous gene deletion syndromes, DiGeorge and CATCH22. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2010],	22	HSPOX2, PIG6, POX1, PRODH2, TP53I6, PRODH	HGNC:9453	PRODH	ENSG00000100033	PRODH	5625	PRODH
PRODH2	proline dehydrogenase 2	Amino Acid Metabolism	Converts proline to delta-1-pyrroline-5-carboxylate (Probable)	19	HSPOX1, HYPDH	HGNC:17325	PRODH2	ENSG00000250799	PRODH2	58510	PRODH2
PYCR1	pyrroline-5-carboxylate reductase 1	Amino Acid Metabolism	This gene encodes an enzyme that catalyzes the NAD(P)H-dependent conversion of pyrroline-5-carboxylate to proline. This enzyme may also play a physiologic role in the generation of NADP(+) in some cell types. The protein forms a homopolymer and localizes to the mitochondrion. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2013],	17	ARCL2B, ARCL3B, P5C, P5CR, PIG45, PP222, PRO3, PYCR	HGNC:9721	PYCR1	ENSG00000183010	PYCR1	5831	PYCR1
PYCR2	pyrroline-5-carboxylate reductase 2	Amino Acid Metabolism	This gene belongs to the pyrroline-5-carboxylate reductase family. The encoded mitochondrial protein catalyzes the conversion of pyrroline-5-carboxylate to proline, which is the last step in proline biosynthesis. Alternatively spliced transcript variants have been described for this gene. [provided by RefSeq, Nov 2012],	1	HLD10, P5CR2	HGNC:30262	PYCR2	ENSG00000143811	PYCR2	29920	PYCR2
QDPR	quinoid dihydropteridine reductase	Amino Acid Metabolism	This gene encodes the enzyme dihydropteridine reductase, which catalyzes the NADH-mediated reduction of quinonoid dihydrobiopterin.  This enzyme is an essential component of the pterin-dependent aromatic amino acid hydroxylating systems. Mutations in this gene resulting in QDPR deficiency include aberrant splicing, amino acid substitutions, insertions, or premature terminations.  Dihydropteridine reductase deficiency presents as atypical phenylketonuria due to insufficient production of biopterin, a cofactor for phenylalanine hydroxylase. [provided by RefSeq, Jul 2008],	4	DHPR, HDHPR, PKU2, SDR33C1	HGNC:9752	QDPR	ENSG00000151552	QDPR	5860	QDPR
SQOR	sulfide quinone oxidoreductase	Amino Acid Metabolism	The protein encoded by this gene may function in mitochondria to catalyze the conversion of sulfide to persulfides, thereby decreasing toxic concencrations of sulfide. Alternative splicing results in multiple transcript variants that encode the same protein. [provided by RefSeq, Sep 2012]	15	CGI-44, PRO1975, SQR, SQRDL	HGNC:20390	SQOR	ENSG00000137767	SQOR	58472	SQOR
SUGCT	succinyl-CoA:glutarate-CoA transferase	Amino Acid Metabolism	This gene encodes a protein that is similar to members of the CaiB/baiF CoA-transferase protein family. Mutations in this gene are associated with glutaric aciduria type III. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Jul 2010],	7	C7orf10, DERP13, GA3, ORF19	HGNC:16001	SUGCT	ENSG00000175600	SUGCT	79783	SUGCT
SUOX	sulfite oxidase	Amino Acid Metabolism	"Description: EC 1.8.3.1 [validated, MUID:95322455]; sulfite oxidase; catalyzes the oxidation of sulfite and water to sulfate and hydrogen peroxide by dioxygen,"	12		HGNC:11460	SUOX	ENSG00000139531	SUOX	6821	SUOX
TST	thiosulfate sulfurtransferase	Amino Acid Metabolism	Formation of iron-sulfur complexes, cyanide detoxification or modification of sulfur-containing enzymes. Other thiol compounds, besides cyanide, can act as sulfur ion acceptors. Also has weak mercaptopyruvate sulfurtransferase (MST) activity (By similarity)	22	RDS	HGNC:12388	TST	ENSG00000128311	TST	7263	TST
AIFM1	apoptosis inducing factor mitochondria associated 1	Apoptosis	Possesses significant protein thiol-disulfide oxidase activityProbable oxidoreductase that acts as a caspase- independent mitochondrial effector of apoptotic cell death. Extramitochondrial AIF induces nuclear chromatin condensation and large scale DNA fragmentation (in vitro). Binds to DNA in a sequence-independent manner	X	AIF, CMT2D, CMTX4, COWCK, COXPD6, DFNX5, NADMR, NAMSD, PDCD8	HGNC:8768	AIFM1	ENSG00000156709	AIFM1	9131	AIFM1
AIFM2	apoptosis inducing factor mitochondria associated 2	Apoptosis	Oxidoreductase, which may play a role in mediating a TP53/p53-dependent apoptosis response. Probable oxidoreductase that acts as a caspase-independent mitochondrial effector of apoptotic cell death. Binds to DNA in a sequence-independent manner. May contribute to genotoxin-induced growth arrest	10	AMID, PRG3	HGNC:21411	AIFM2	ENSG00000042286	AIFM2	84883	AIFM2
AIFM3	apoptosis inducing factor mitochondria associated 3	Apoptosis	Induces apoptosis through a caspase dependent pathway. Reduces mitochondrial membrane potential	22	AIFL	HGNC:26398	AIFM3	ENSG00000183773	AIFM3	150209	AIFM3
ALKBH7	alkB homolog 7	Apoptosis	similarity:Belongs to the alkB family	19	ABH7, SPATA11, UNQ6002	HGNC:21306	ALKBH7	ENSG00000125652	ALKBH7	84266	ALKBH7
ANP32A	acidic nuclear phosphoprotein 32 family member A	Apoptosis	Implicated in a number of cellular processes, including proliferation, differentiation, caspase-dependent and caspase- independent apoptosis, suppression of transformation (tumor suppressor), inhibition of protein phosphatase 2A, regulation of mRNA trafficking and stability in association with ELAVL1, and inhibition of acetyltransferases as part of the INHAT (inhibitor of histone acetyltransferases) complex. Plays a role in E4F1- mediated transcriptional repression	15	C15orf1, HPPCn, I1PP2A, LANP, MAPM, PHAP1, PHAPI, PP32	HGNC:13233	ANP32A	ENSG00000140350	ANP32A	8125	ANP32A
APAF1	apoptotic peptidase activating factor 1	Apoptosis	This gene encodes a cytoplasmic protein that initiates apoptosis. This protein contains several copies of the WD-40 domain, a caspase recruitment domain (CARD), and an ATPase domain (NB-ARC). Upon binding cytochrome c and dATP, this protein forms an oligomeric apoptosome. The apoptosome binds and cleaves caspase 9 preproprotein, releasing its mature, activated form. Activated caspase 9 stimulates the subsequent caspase cascade that commits the cell to apoptosis. Alternative splicing results in several transcript variants encoding different isoforms. [provided by RefSeq, Jul 2008],	12	APAF-1, CED4	HGNC:576	APAF1	ENSG00000120868	APAF1	317	APAF1
APOPT1	apoptogenic 1, mitochondrial	Apoptosis	This gene encodes a protein that localizes to the mitochondria, where it stimulates the release of cytochrome c, thereby promoting programmed cell death. Mutations in this gene have been found in individuals with mitochondrial complex IV deficiency. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2014],	14	APOP, APOP1, C14orf153	HGNC:20492	APOPT1	ENSG00000256053	APOPT1	84334	APOPT1
ARMC10	armadillo repeat containing 10	Apoptosis	This gene encodes a protein that contains an armadillo repeat and transmembrane domain. The encoded protein decreases the transcriptional activity of the tumor suppressor protein p53 through direct interaction with the DNA-binding domain of p53, and may play a role in cell growth and survival. Upregulation of this gene may play a role in hepatocellular carcinoma. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene, and a pseudogene of this gene is located on the long arm of chromosome 3. [provided by RefSeq, Sep 2011],	7	PNAS-112, PNAS112, PSEC0198, SVH	HGNC:21706	ARMC10	ENSG00000170632	ARMC10	83787	ARMC10
BAD	BCL2 associated agonist of cell death	Apoptosis	The protein encoded by this gene is a member of the BCL-2 family. BCL-2 family members are known to be regulators of programmed cell death. This protein positively regulates cell apoptosis by forming heterodimers with BCL-xL and BCL-2, and reversing their death repressor activity. Proapoptotic activity of this protein is regulated through its phosphorylation. Protein kinases AKT and MAP kinase, as well as protein phosphatase calcineurin were found to be involved in the regulation of this protein. Alternative splicing of this gene results in two transcript variants which encode the same isoform. [provided by RefSeq, Jul 2008],	11	BBC2, BCL2L8	HGNC:936	BAD	ENSG00000002330	BAD	572	BAD
BAK1	BCL2 antagonist/killer 1	Apoptosis	In the presence of an appropriate stimulus, accelerates programmed cell death by binding to, and antagonizing the a repressor Bcl-2 or its adenovirus homolog E1B 19k proteinIn the presence of an appropriate stimulus, accelerates programmed cell death by binding to, and antagonizing the a. repressor BCL2 or its adenovirus homolog E1B 19k protein. Low micromolar levels of zinc ions inhibit the promotion of apoptosis	6	BAK, BAK-LIKE, BCL2L7, CDN1	HGNC:949	BAK1	ENSG00000030110	BAK1	578	BAK1
BAX	BCL2 associated X, apoptosis regulator	Apoptosis	The protein encoded by this gene belongs to the BCL2 protein family. BCL2 family members form hetero- or homodimers and act as anti- or pro-apoptotic regulators that are involved in a wide variety of cellular activities. This protein forms a heterodimer with BCL2, and functions as an apoptotic activator. This protein is reported to interact with, and increase the opening of, the mitochondrial voltage-dependent anion channel (VDAC), which leads to the loss in membrane potential and the release of cytochrome c. The expression of this gene is regulated by the tumor suppressor P53 and has been shown to be involved in P53-mediated apoptosis. Multiple alternatively spliced transcript variants, which encode different isoforms, have been reported for this gene. [provided by RefSeq, Jul 2008],	19	BCL2L4	HGNC:959	BAX	ENSG00000087088	BAX	581	BAX
BBC3	BCL2 binding component 3	Apoptosis	This gene encodes a member of the BCL-2 family of proteins. This family member belongs to the BH3-only pro-apoptotic subclass. The protein cooperates with direct activator proteins to induce mitochondrial outer membrane permeabilization and apoptosis. It can bind to anti-apoptotic Bcl-2 family members to induce mitochondrial dysfunction and caspase activation. Because of its pro-apoptotic role, this gene is a potential drug target for cancer therapy and for tissue injury. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2011],	19	JFY-1, JFY1, PUMA	HGNC:17868	BBC3	ENSG00000105327	BBC3	27113	BBC3
BCL2	BCL2 apoptosis regulator	Apoptosis	This gene encodes an integral outer mitochondrial membrane protein that blocks the apoptotic death of some cells such as lymphocytes. Constitutive expression of BCL2, such as in the case of translocation of BCL2 to Ig heavy chain locus, is thought to be the cause of follicular lymphoma. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2016],	18	Bcl-2, PPP1R50	HGNC:990	BCL2	ENSG00000171791	BCL2	596	BCL2
BCL2L1	BCL2 like 1	Apoptosis	Potent inhibitor of cell death. Isoform Bcl-X(L) anti- apoptotic activity is inhibited by association with SIVA isoform 1. Inhibits activation of caspases (By similarity). Appears to regulate cell death by blocking the voltage-dependent anion channnel (VDAC) by binding to it and preventing the release of the caspase activator, cytochrome c, from the mitochondrial membrane. The Bcl-X(S) isoform promotes apoptosis	20	BCL-XL/S, BCL2L, BCLX, Bcl-X, PPP1R52	HGNC:992	BCL2L1	ENSG00000171552	BCL2L1	598	BCL2L1
BCL2L11	BCL2 like 11	Apoptosis	The protein encoded by this gene belongs to the BCL-2 protein family. BCL-2 family members form hetero- or homodimers and act as anti- or pro-apoptotic regulators that are involved in a wide variety of cellular activities. The protein encoded by this gene contains a Bcl-2 homology domain 3 (BH3). It has been shown to interact with other members of the BCL-2 protein family and to act as an apoptotic activator. The expression of this gene can be induced by nerve growth factor (NGF), as well as by the forkhead transcription factor FKHR-L1, which suggests a role of this gene in neuronal and lymphocyte apoptosis. Transgenic studies of the mouse counterpart suggested that this gene functions as an essential initiator of apoptosis in thymocyte-negative selection. Several alternatively spliced transcript variants of this gene have been identified. [provided by RefSeq, Jun 2013],	2	BAM, BIM, BOD	HGNC:994	BCL2L11	ENSG00000153094	BCL2L11	10018	BCL2L11
